,"Consumer Price Index for All Urban Consumers (CPI-U): U.S. city average, by expenditure category, January 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[1982-84=100, unless otherwise noted]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indent Level,Expenditure category,"Relative
importance
Dec.
2023",Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Unadjusted percent change,Unadjusted percent change,Unadjusted percent change,Unadjusted percent change,Seasonally adjusted percent change,Seasonally adjusted percent change,Seasonally adjusted percent change,One Month,One Month,One Month,One Month,Twelve Month,Twelve Month,Twelve Month,Twelve Month
,,,"Jan.
2023","Feb.
2023","Mar.
2023","Apr.
2023","May
2023","Jun.
2023","Jul.
2023","Aug.
2023","Sep.
2023","Oct.
2023","Nov.
2023","Dec.
2023","Jan.
2024","Jan.
2023","Feb.
2023","Mar.
2023","Apr.
2023","May
2023","Jun.
2023","Jul.
2023","Aug.
2023","Sep.
2023","Oct.
2023","Nov.
2023","Dec.
2023","Jan.
2024","Jan.
2023-
Jan.
2024","Oct.
2023-
Nov.
2023","Nov.
2023-
Dec.
2023","Dec.
2023-
Jan.
2024","Oct.
2023-
Nov.
2023","Nov.
2023-
Dec.
2023","Dec.
2023-
Jan.
2024","Seasonally adjusted effect on All Items
Dec. 2023-
Jan. 2024(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) seasonally adjusted change since:(3),Largest (L) or Smallest (S) seasonally adjusted change since:(3),"Unadjusted effect on All Items
Jan. 2023-
Jan. 2024(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) unadjusted change since:(3),Largest (L) or Smallest (S) unadjusted change since:(3)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,Percent change,,,Date,Percent change
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,All items,100.000,299.170,300.840,301.836,303.363,304.127,305.109,305.691,307.026,307.789,307.671,307.051,306.746,308.417,300.356,301.509,301.744,303.032,303.365,304.003,304.628,306.187,307.288,307.531,308.024,308.742,309.685,3.1,-0.2,-0.1,0.5,0.2,0.2,0.3,,0.04,L-Sep. 2023,0.4,,0.10,S-Nov. 2023,3.1
1,Food,13.555,319.136,320.569,320.863,321.566,322.249,322.556,323.523,324.100,324.704,325.731,325.172,325.409,327.327,319.623,320.697,321.028,321.116,321.824,322.347,322.969,323.754,324.356,325.312,325.870,326.545,327.813,2.6,-0.2,0.1,0.6,0.2,0.2,0.4,0.052,0.08,L-Jan. 2023,0.6,0.348,0.25,S-Jun. 2021,2.4
2,Food at home,8.167,301.435,302.483,301.918,302.328,302.535,302.335,303.455,303.716,303.925,304.788,303.224,303.005,305.037,302.149,302.669,302.160,301.669,301.912,302.030,302.645,303.209,303.416,304.176,304.245,304.667,305.788,1.2,-0.5,-0.1,0.7,0.0,0.1,0.4,0.030,0.12,L-Jan. 2023,0.5,0.102,0.21,S-Jun. 2021,0.9
